location,year,management,fertilization,product,yield
jablje,1993,A,N0,grain,6.163
jablje,1994,A,N0,grain,5.558
jablje,1995,A,N0,grain,6.702
jablje,1996,A,N0,grain,2.884
jablje,1997,A,N0,grain,4.139
jablje,1998,A,N0,grain,2.967
jablje,1999,A,N0,grain,2.547
jablje,2000,A,N0,grain,3.405
jablje,2001,A,N0,grain,2.394
jablje,2002,A,N0,grain,5.041
jablje,2003,A,N0,grain,4.22
jablje,2004,A,N0,grain,0.426
jablje,2005,A,N0,grain,3.401
jablje,2006,A,N0,grain,2.989
jablje,2007,A,N0,grain,8.494
jablje,2008,A,N0,grain,5.026
jablje,2009,A,N0,grain,0.634
jablje,2010,A,N0,grain,1.149
jablje,2011,A,N0,grain,4.637
jablje,2012,A,N0,grain,3.533
jablje,2013,A,N0,grain,2.787
jablje,2014,A,N0,grain,8.362
jablje,2015,A,N0,grain,1.693
jablje,2016,A,N0,grain,2.223
jablje,2017,A,N0,grain,4.972
jablje,2018,A,N0,grain,5.33
jablje,2019,A,N0,grain,4.28
jablje,2020,A,N0,grain,5.383
jablje,2021,A,N0,grain,1.623
jablje,2022,A,N0,grain,3.586
jablje,2023,A,N0,grain,6.571
jablje,1993,A,N0,straw,10.628
jablje,1994,A,N0,straw,9.919
jablje,1995,A,N0,straw,8.219
jablje,1996,A,N0,straw,3.811
jablje,1997,A,N0,straw,4.813
jablje,1998,A,N0,straw,3.11
jablje,1999,A,N0,straw,3.52
jablje,2000,A,N0,straw,4.592
jablje,2001,A,N0,straw,2.527
jablje,2002,A,N0,straw,3.441
jablje,2003,A,N0,straw,6.266
jablje,2004,A,N0,straw,1.601
jablje,2005,A,N0,straw,3.795
jablje,2006,A,N0,straw,2.563
jablje,2007,A,N0,straw,10.266
jablje,2008,A,N0,straw,4.5
jablje,2009,A,N0,straw,2.278
jablje,2010,A,N0,straw,1.434
jablje,2011,A,N0,straw,4.394
jablje,2012,A,N0,straw,3.862
jablje,2013,A,N0,straw,10.309
jablje,2014,A,N0,straw,6.757
jablje,2015,A,N0,straw,3.571
jablje,2016,A,N0,straw,2.9
jablje,2017,A,N0,straw,4.091
jablje,2018,A,N0,straw,6.929
jablje,2019,A,N0,straw,4.71
jablje,2020,A,N0,straw,5.794
jablje,2021,A,N0,straw,2.882
jablje,2022,A,N0,straw,6.221
jablje,2023,A,N0,straw,8.769
jablje,1993,A,N3,grain,7.83
jablje,1994,A,N3,grain,10.422
jablje,1995,A,N3,grain,12.013
jablje,1996,A,N3,grain,8.27
jablje,1997,A,N3,grain,10.369
jablje,1998,A,N3,grain,8.889
jablje,1999,A,N3,grain,9.76
jablje,2000,A,N3,grain,10.134
jablje,2001,A,N3,grain,6.792
jablje,2002,A,N3,grain,12.08
jablje,2003,A,N3,grain,7.525
jablje,2004,A,N3,grain,6.108
jablje,2005,A,N3,grain,11.081
jablje,2006,A,N3,grain,7.823
jablje,2007,A,N3,grain,10.278
jablje,2008,A,N3,grain,9.15
jablje,2009,A,N3,grain,5.129
jablje,2010,A,N3,grain,7.479
jablje,2011,A,N3,grain,9.523
jablje,2012,A,N3,grain,10.641
jablje,2013,A,N3,grain,7.804
jablje,2014,A,N3,grain,10.293
jablje,2015,A,N3,grain,10.136
jablje,2016,A,N3,grain,9.367
jablje,2017,A,N3,grain,8.775
jablje,2018,A,N3,grain,8.531
jablje,2019,A,N3,grain,11.998
jablje,2020,A,N3,grain,13.514
jablje,2021,A,N3,grain,11.083
jablje,2022,A,N3,grain,5.776
jablje,2023,A,N3,grain,12.654
jablje,1993,A,N3,straw,11.104
jablje,1994,A,N3,straw,15.54
jablje,1995,A,N3,straw,13.438
jablje,1996,A,N3,straw,7.162
jablje,1997,A,N3,straw,8.043
jablje,1998,A,N3,straw,6.222
jablje,1999,A,N3,straw,10.343
jablje,2000,A,N3,straw,8.904
jablje,2001,A,N3,straw,7.038
jablje,2002,A,N3,straw,7.71
jablje,2003,A,N3,straw,7.85
jablje,2004,A,N3,straw,5.447
jablje,2005,A,N3,straw,10.878
jablje,2006,A,N3,straw,6.342
jablje,2007,A,N3,straw,11.682
jablje,2008,A,N3,straw,7.812
jablje,2009,A,N3,straw,2.956
jablje,2010,A,N3,straw,4.526
jablje,2011,A,N3,straw,8.01
jablje,2012,A,N3,straw,5.786
jablje,2013,A,N3,straw,11.497
jablje,2014,A,N3,straw,11.265
jablje,2015,A,N3,straw,5.252
jablje,2016,A,N3,straw,8.934
jablje,2017,A,N3,straw,5.911
jablje,2018,A,N3,straw,8.034
jablje,2019,A,N3,straw,7.81
jablje,2020,A,N3,straw,13.138
jablje,2021,A,N3,straw,10.716
jablje,2022,A,N3,straw,9.538
jablje,2023,A,N3,straw,12.494
jablje,1993,B,N0,grain,7.734
jablje,1994,B,N0,grain,6.845
jablje,1995,B,N0,grain,7.065
jablje,1996,B,N0,grain,3.742
jablje,1997,B,N0,grain,5.211
jablje,1998,B,N0,grain,2.775
jablje,1999,B,N0,grain,2.633
jablje,2000,B,N0,grain,4.044
jablje,2001,B,N0,grain,2.893
jablje,2002,B,N0,grain,6.457
jablje,2003,B,N0,grain,5.16
jablje,2004,B,N0,grain,0.906
jablje,2005,B,N0,grain,3.964
jablje,2006,B,N0,grain,4.884
jablje,2007,B,N0,grain,9.23
jablje,2008,B,N0,grain,5.529
jablje,2009,B,N0,grain,1.039
jablje,2010,B,N0,grain,2.029
jablje,2011,B,N0,grain,4.678
jablje,2012,B,N0,grain,4.749
jablje,2013,B,N0,grain,3.02
jablje,2014,B,N0,grain,7.982
jablje,2015,B,N0,grain,3.469
jablje,2016,B,N0,grain,3.073
jablje,2017,B,N0,grain,6.046
jablje,2018,B,N0,grain,5.717
jablje,2019,B,N0,grain,4.354
jablje,2020,B,N0,grain,7.263
jablje,2021,B,N0,grain,2.423
jablje,2022,B,N0,grain,4.079
jablje,2023,B,N0,grain,6.76
jablje,1993,B,N0,straw,11.785
jablje,1994,B,N0,straw,10.242
jablje,1995,B,N0,straw,9.022
jablje,1996,B,N0,straw,4.815
jablje,1997,B,N0,straw,4.842
jablje,1998,B,N0,straw,3.877
jablje,1999,B,N0,straw,4.196
jablje,2000,B,N0,straw,6.514
jablje,2001,B,N0,straw,2.875
jablje,2002,B,N0,straw,4.505
jablje,2003,B,N0,straw,6.038
jablje,2004,B,N0,straw,4.193
jablje,2005,B,N0,straw,3.87
jablje,2006,B,N0,straw,4.805
jablje,2007,B,N0,straw,8.675
jablje,2008,B,N0,straw,4.029
jablje,2009,B,N0,straw,3.77
jablje,2010,B,N0,straw,1.724
jablje,2011,B,N0,straw,4.832
jablje,2012,B,N0,straw,3.895
jablje,2013,B,N0,straw,8.673
jablje,2014,B,N0,straw,8.27
jablje,2015,B,N0,straw,3.006
jablje,2016,B,N0,straw,3.782
jablje,2017,B,N0,straw,3.778
jablje,2018,B,N0,straw,6.936
jablje,2019,B,N0,straw,4.375
jablje,2020,B,N0,straw,9.688
jablje,2021,B,N0,straw,3.814
jablje,2022,B,N0,straw,7.079
jablje,2023,B,N0,straw,9.105
jablje,1993,B,N1,grain,7.766
jablje,1994,B,N1,grain,7.941
jablje,1995,B,N1,grain,8.499
jablje,1996,B,N1,grain,6.484
jablje,1997,B,N1,grain,9.138
jablje,1998,B,N1,grain,7.48
jablje,1999,B,N1,grain,4.932
jablje,2000,B,N1,grain,7.361
jablje,2001,B,N1,grain,4.068
jablje,2002,B,N1,grain,8.813
jablje,2003,B,N1,grain,6.595
jablje,2004,B,N1,grain,2.565
jablje,2005,B,N1,grain,7.448
jablje,2006,B,N1,grain,5.516
jablje,2007,B,N1,grain,10.464
jablje,2008,B,N1,grain,6.804
jablje,2009,B,N1,grain,2.198
jablje,2010,B,N1,grain,5.152
jablje,2011,B,N1,grain,7.073
jablje,2012,B,N1,grain,6.793
jablje,2013,B,N1,grain,5.911
jablje,2014,B,N1,grain,10.587
jablje,2015,B,N1,grain,7.117
jablje,2016,B,N1,grain,5.685
jablje,2017,B,N1,grain,8.033
jablje,2018,B,N1,grain,8.697
jablje,2019,B,N1,grain,7.973
jablje,2020,B,N1,grain,10.322
jablje,2021,B,N1,grain,6.78
jablje,2022,B,N1,grain,4.695
jablje,2023,B,N1,grain,10.277
jablje,1993,B,N1,straw,11.688
jablje,1994,B,N1,straw,11.785
jablje,1995,B,N1,straw,9.946
jablje,1996,B,N1,straw,4.811
jablje,1997,B,N1,straw,8.231
jablje,1998,B,N1,straw,6.381
jablje,1999,B,N1,straw,6.31
jablje,2000,B,N1,straw,8.028
